Typ,Tema,Deltagare,Arrangor
Monterprogram,Skola,"Carola Mikaelsson, Lo Söllgård, Therése Granwald",Lunds universitet
,Bibliotek / Skola,Daniele Aguilar,Axiell
,,"Dan Josefsson, Sture Bergwall",Bokförlaget Forum
,Barn och ungdom / Hälsa och livsstil / Samhälle och debatt,"Anna Lagerblad, Jenny Jägerfeld, Moa-Lina Olbers Croall",Rabén & sjögren och Natur & Kultur
Scenprogram,Historia / Livsåskådning / Samhälle och debatt,"Martin Lind, Niklas Rådström","Se människan, Albert Bonniers Förlag"
,Skola,"Edward Jensinger, Erlend Øverby, Eva Houltzén",Axiell Education
,Barn och ungdom,"Alexandra Pascalidou, Daniela Stamatiadi, Josefin Michanek",IBBY Sverige och Bokförlaget Mirando
Monterprogram,Bibliotek,,Länsbiblioteket Västernorrland
,Bibliotek,"Karin Byström, Karl Edqvist, Magnus Pettersson Roos, Martin Wincent, Rickard Vinde, Stefan Martell, Wilhelm Widmark",Svensk biblioteksförening och Stockholms universitetsbibliotek
,Samhälle och debatt,"Cecilia Uddén, Jesper Söder, Joakim Medin, Patrick Cockburn","Celanders, Leopard och Bokförlaget Forum"
Monterprogram,Barn och ungdom / Serier,"Anna Öqvist Ragnar, Jonathan Stroud",Storytel
,Skola,"Emma Lindeblad, Helena Nordqvist","Myndigheten för tillgängliga medier, MTM"
,Barn och ungdom,"Christina Snell-Lumio, Kerstin Tuomas Larsson","Lumio förlag, Kulturrådet"
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Osama Al Habahbeh, Susanna Inkinen, Susanna Wasielewski Ahlfors",Sida
Scenprogram,Samhälle och debatt,"Fredrik Mellgren, Henrik Ennart",Författarcentrum och Sveriges Författarförbund
Monterprogram,Livsåskådning / Samhälle och debatt / Yttrandefrihet,,Karnstedts förlag
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,Barn och ungdom,Annika Thor,Bonnier Carlsen
"Monterprogram, Scenprogram",Barn och ungdom / Samhälle och debatt / Skola,Torkel Klingberg,Forskartorget/Natur & Kultur
Monterprogram,Barn och ungdom,,Rabén & Sjögren
,Bibliotek / Samhälle och debatt,"Ellen Follin, Ingrid Atleststam, Randi Myhre",I samarbete med BTJ-förlag
Monterprogram,Samhälle och debatt,Ebba Witt-Brattström,Norstedts
Scenprogram,Historia / Samhälle och debatt,"Erik Osvalds, Ingmar Karlsson",Historiska Media
Scenprogram,Samhälle och debatt / Yttrandefrihet,Birgitta Ney,Svensk Presshistorisk Förening
,Barn och ungdom / Skola,Linda Palm,Natur & Kultur
,Samhälle och debatt,Klas Eklund,Studentlitteratur
Monterprogram,Samhälle och debatt / Yttrandefrihet,"Anu Koivunen, Fredrika Lagergren Wahlin","Hanaholmen -kulturcentrum för Sverige och Finland, Kulturfonden för Sverige och Finland"
Monterprogram,Barn och ungdom / Skola,,Lunds universitet
,Bibliotek,Per Falk,Axiell
,Hälsa och livsstil,Bo Hejlskov Elvén,Natur & Kultur
Scenprogram,Historia / Samhälle och debatt / Skola,"Elisabeth Åsbrink, Erika Hedenström","Se människan, Natur och Kultur"
Monterprogram,,Karolina Ramqvist,Norstedts
,Barn och ungdom / Fantasy och science fiction,"Johan Idesjö, Johanna Strömqvist",Semic
Monterprogram,Barn och ungdom / Serier,Anna Öqvist Ragnar,Storytel
Scenprogram,,Lisa Bjurwald,Författarcentrum och Sveriges Författarförbund
,Barn och ungdom,"Anne-Marie Körling, Jonas Andersson",Kulturrådet
Monterprogram,,,Max Ström
Monterprogram,Barn och ungdom,,Bonnier Carlsen
"Monterprogram, Scenprogram",Samhälle och debatt,Krister Olsson,Forskartorget/Historiska Media
,Barn och ungdom / Bibliotek,"Eva Fred, Linda Holmer","I samarbete med Högskolan för Design och Konsthantverk, Göteborg"
Monterprogram,Hälsa och livsstil,,Norstedts
Scenprogram,Samhälle och debatt,"Felicia Hedström, Leif Rosenberg",Folkhögskolor utan gränser
,Barn och ungdom / Skola,"Ann Forslind, Anna Bengtsson, Gunna Grähs, Joanna Hellgren, Lennart Eng, Siri Ahmed Backström, Ulla Rhedin",Rabén & Sjögren och Saltkråkan
,Barn och ungdom / Bibliotek,"Gulnar Hajo, Katayoun Keshavarzi, Marian Hassan, Mats Kempe, Mohammed Hossein Mohammadi",Internationella biblioteket
,Skola,"Måns Jonasson, Sofia Hahr",Rabén & Sjögren
,Samhälle och debatt,Bodil Jönsson,Brombergs Bokförlag
,Barn och ungdom / Skola,"Johanna Billvén, Sofia Lager Millton",I samarbete med Regionbibliotek Jönköping
"Monterprogram, Scenprogram",Historia / Hälsa och livsstil / Samhälle och debatt,Markus Heilig,Forskartorget/Forskning & Framsteg
,Barn och ungdom / Fantasy och science fiction,"Eva Dahlin, Jo Salmson, Patrik Bergström",Lilla Piratförlaget och Bonnier Carlsen
,Skola,Cecilia Johansson,Lärarnas Riksförbund
Monterprogram,,,Göteborgs universitet
,Samhälle och debatt,"Isak Svensson, Karin Aggestam, Katarina Engberg, Pierre Schori, Sharon Jåma",Riksbankens jubileumsfond
Monterprogram,Barn och ungdom,"Joanna Vikström Eklöv, Katarina Gäddnäs, Malin Klingenberg",Schildts & Söderströms
Monterprogram,Samhälle och debatt,,Lunds universitet
Monterprogram,,Anna Fredriksson,Eksjö Bokhandel
Monterprogram,Samhälle och debatt,Reza Saleh,Studieförbundet Vuxenskolan
,Hälsa och livsstil,"Jonas Mattsson, Lars Nyberg",Natur & Kultur
,Skola / Yttrandefrihet,"Anna Ekström, Cecilia Garme, Elza Dunkels, Ewa Thorslund, Lena Andersson, Ola Sigvardsson",Lärarnas Riksförbund
Scenprogram,Memoarer och biografier / Yttrandefrihet,"Gunilla Molloy, Johanna Ekström","Se människan, Albert Bonniers Förlag"
Monterprogram,Barn och ungdom,,Rabén & Sjögren
,,"Ingrid Elam, Steve Sem-Sandberg",Albert Bonniers förlag
,Barn och ungdom,"Arnar Már Arngrímsson,, Hanna Gustavsson, Janina Orlov, Sigurdur Ólafsson","Nordiska rådet, Kulturrådet"
Monterprogram,Barn och ungdom,"Anna Öqvist Ragnar, Martin Svensson",Storytel
Scenprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola,"Albert Askeljung, Emilia Otterstam, Staffan Landin",Svenska FN-förbundet och UNDP
,Historia,"Maria Vallström, Roddy Nilsson",Nordic Academic Press
,Populärvetenskap,"Christophe Galfard, Karin Bojs, Ulf Danielsson",Volante och Fri Tanke förlag
Scenprogram,,Ulf Eriksson,Författarcentrum och Sveriges Författarförbund
Monterprogram,,,Wahlström & Widstrand
,,"Kristina Sandberg Kempe, Lotta Kühlhorn, Ulrika Knutson",Norstedts
Monterprogram,Samhälle och debatt,,Albert Bonniers Förlag
Monterprogram,Barn och ungdom,Farzad Farzaneh,Bonnier Carlsen
Monterprogram,Barn och ungdom,Jenny Jägerfeld,Rabén & Sjögren
,Bibliotek / Samhälle och debatt,"Björn Gadd, Charlotte Henriksson, Cissy Avrin",I samarbete med BTJ-förlag
"Monterprogram, Scenprogram",Historia / Samhälle och debatt / Yttrandefrihet,Renaud de la Brosse,Forskartorget/Linnéuniversitetet
Monterprogram,Barn och ungdom,,Rabén & Sjögren
Scenprogram,Historia / Samhälle och debatt,Eugen Ruge,Nilsson förlag
Monterprogram,Memoarer och biografier,,Albert Bonniers Förlag
Monterprogram,Barn och ungdom,Josefine Sundström,Bonnier Carlsen
,Bibliotek,"Ebba Witt-Brattström, Kristoffer Leandoer",Natur & Kultur
Monterprogram,Skola,Lotta Olvegård,Institutionen för svenska språket
,Barn och ungdom / Skola,"Jenny Jägerfeld, Mats Strandberg, Ylva Blomqvist",Rabén & Sjögren
,Hälsa och livsstil,"Helena von Zweigbergk, Åsa Nilsonne",Natur & Kultur
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Anneli Jordahl, Elisabet Pettersson","Se människan, Norstedts"
,Historia,Herman Lindqvist,Albert Bonniers förlag
,Skola,"Anneli Frelin, Cilla Thorell, Erik Uddenberg, Isabella Grybe",UR
Monterprogram,Samhälle och debatt / Yttrandefrihet,,Centerpartiet
,Barn och ungdom / Fantasy och science fiction,"Alexander Hallberg, Anders Olsson, Evelina Boberg","Sverok, Kulturrådet"
Monterprogram,Samhälle och debatt,"Anna Öqvist Ragnar, Meg Rosoff",Storytel
Scenprogram,Samhälle och debatt,Hynek Pallas,Författarcentrum och Sveriges Författarförbund
,,"Anna Hallberg, Annina Rabe, Jonas Ellerström, Yukiko Duke",I samarbete med Rumänska kulturinstitutet
"Monterprogram, Scenprogram",Hälsa och livsstil,Ida Schoultz,Forskartorget/Örebro iniversitet
,,"Leonardo Tônus, Ulla Gabrielsson",Embassy of Brazil in Stockholm
Monterprogram,Barn och ungdom / Samhälle och debatt,,Bonnier Carlsen
,Barn och ungdom,"Daniel Sjölin, Dilsa Demirbag-Sten, Johan Unenge, Petter Alexis Askergren",Bonnierförlagen och Berättarministeriet
,Samhälle och debatt,"Björn Wiman, Joachim Dyfvermark, Jóhannes Kristjánsson, Sven Bergman",Weyler förlag
,Bibliotek,,I samarbete med MTM
Monterprogram,,"Lotta Olvegård, Marie Rydenvald",Institutionen för svenska språket
,Skola,Per-Olof Bentley,Lärarnas Riksförbund forum för Ma/NO
,Barn och ungdom,"Bo Hejlskov Elvén, Ebba Kleberg von Sydow, Lars H Gustafsson",Natur & Kultur och Norstedts
,Hälsa och livsstil,"Anders Hansen, Maria Carling, Torkel Klingberg",SvD Idagsidan
,Samhälle och debatt,"Cecilia Uddén, Kristina Henschen, Ola Larsmo, Tobias Baudin",Union to Union
Scenprogram,Livsåskådning / Samhälle och debatt,"Björn Ranelid, Martin Lind","Se människan, Albert Bonniers Förlag"
,Skola,Bill Martin,F Hoper & Bhagar
Monterprogram,Fantasy och science fiction,"Anna Öqvist Ragnar, Matt Haig",Storytel
Scenprogram,Samhälle och debatt / Yttrandefrihet,Ilja Jasjin,Östgruppen
,Barn och ungdom,"Helena Willis, Per Gustavsson, Stina Wirsén",Bonnier Carlsen och Natur & Kultur
Scenprogram,,Niklas Rådström,Författarcentrum och Sveriges Författarförbund
,Barn och ungdom,"Linda Linnskog, Linda Linnskog, Martin Svensson, Tina Karlsson, Ylva Lagercrantz","B Wahlström, Opal, Kulturrådet"
,Barn och ungdom / Skola,Fredrik Ernerot,I samarbete med Skolbibliotek Väst
"Monterprogram, Scenprogram",Historia,"Björn Hagman, Martin Widman",Forskartorget/Norstedts
,Samhälle och debatt,"Johan Blomgren, Therése Granwald",Lo Söllgårds förlag
,Bibliotek,"Gunnar Südow, Kennet Klemets",I samarbete med Författarcentrum Väst
Scenprogram,Samhälle och debatt / Yttrandefrihet,Niclas Orrenius,Albert Bonniers Förlag
,Bibliotek,Ellen Åberg,I samarbete med Axiell och BHS
,Bibliotek,,Axiell
Scenprogram,Livsåskådning / Samhälle och debatt / Yttrandefrihet,"KG Hammar, Olle Sahlström","Se människan, Migra Förlag"
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Cecilia Hansson, Emi-Simone Zawall, Hynek Pallas, Joanna Bator",Författarcentrum och Sveriges Författarförbund
,Barn och ungdom,"Jessica Schiefauer, Jessica Schiefaur, Sandra Beijer, Ylva Lagercrantz","Natur & Kultur, Bonnier Carlsen, Kulturrådet"
"Monterprogram, Scenprogram",Bibliotek / Samhälle och debatt / Skola,Alexandra Borg,Forskartorget/Riksbankens Jubileumsfond
Scenprogram,Barn och ungdom / Samhälle och debatt / Serier / Yttrandefrihet,"Johannes Klenell, Liv Strömquist",Galago
Monterprogram,Barn och ungdom / Bibliotek / Fantasy och science fiction / Historia / Skola,,Roslagstext
"Monterprogram, Scenprogram",Barn och ungdom / Bibliotek / Samhälle och debatt / Skola,Polly Björk Willén,Forskartorget/Linköpings universitet
Scenprogram,Livsåskådning,,Se människan
Scenprogram,Samhälle och debatt,"Daniel Suhonen, Ida Östensson, Kristina Henschen, Marcus Gustavsson, Tobias Baudin",Union to Union
Monterprogram,Barn och ungdom,Magnus Nordin,Bonnier Carlsen
Monterprogram,Barn och ungdom,,Vingpennan
Scenprogram,Livsåskådning / Samhälle och debatt / Yttrandefrihet,"Anna Lindman, Mikael Mogren","Se människan, Verbum"
Monterprogram,Barn och ungdom,"Carina Wolff-Brandt, Gudrun Wessnert",Vingpennan
,Fantasy och science fiction / Hälsa och livsstil,"Jenny Jägerfeld, Siri Pettersen",B. Wahlströms bokförlag
,Barn och ungdom / Skola,Henrik Isacsson,"SCB, Kulturrådet"
"Monterprogram, Scenprogram",Samhälle och debatt,,Forskartorget/Forskning & Framsteg
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,Barn och ungdom,Sara Kadefors,Bonnier Carlsen
,Bibliotek / Skola,"Brita Sjögren, Diana Hedin, Sara Gagge",Internationella biblioteket
Monterprogram,Samhälle och debatt / Yttrandefrihet,"Eva-Maria Svensson, Henrik Huldén","Global Free Speech, Göteborgs universitet"
,Barn och ungdom / Bibliotek / Serier / Skola,"Patrik Schylström, Ulf Granberg",I samarbete med Cobolt förlag
,Samhälle och debatt,"Per Strömbäck, Rasmus Fleischer, Susin Lindblom, Ulrika Kärnborg",Sveriges Författarförbund
,,Lena Ackebo,Natur & Kultur
Monterprogram,Skola,"Elena Volodina, Ildikó Pilán",Institutionen för svenska språket
,Samhälle och debatt,,Linköpings universitet
,Skola,Per-Olof Bentley,Lärarnas Riksförbund forum för Ma/NO
Monterprogram,Samhälle och debatt,"Henrik Meinander, Jarmo Lainio, Lotta Hoppu, Maria Wetterstrand","Svenska Finlands folkting, det finska förvaltningsområdet i Göteborgs stad, Hanaholmen - kulturcentrum för Sverige och Finland"
,Barn och ungdom / Skola,"Anna Ahlund, Cecilia Knutsson, Per Nilsson",Rabén & Sjögren
,Bibliotek,Boris Zetterlund,Axiell
Monterprogram,Samhälle och debatt,,Studieförbundet Vuxenskolan
,Hälsa och livsstil,Mattias Lundberg,Författaren själv
,Barn och ungdom,"Ana Lucia Sivertsen, Tomm Sivertsen",Pliplop Books
,Samhälle och debatt / Skola,"Aida Hadzialic, Ann Legeby, Johanna Jaara Åstrand, Johanna Koljonen, Per Schlingmann, Samuel Engelhardt","Lärarförbundet, Angeredsutmaningen och Sweco"
Scenprogram,Hälsa och livsstil / Livsåskådning,"Erika Hedenström, Hanna Hellquist","Se människan, Albert Bonniers Förlag"
Monterprogram,Samhälle och debatt / Yttrandefrihet,,"Global Free Speech, Göteborgs universitet"
Monterprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola / Yttrandefrihet,,8 Sidor - lättlästa nyheter
,Barn och ungdom / Bibliotek,"Andreas Åberg, Margita Gustafsson, Stefan Löfgren","Bygdegårdarnas Riksförbund, Kulturrådet"
Monterprogram,Barn och ungdom,"Anna Öqvist Ragnar, Pernilla Gesén",Storytel
,Historia,Ingmar Karlsson,Historiska Media
Scenprogram,Samhälle och debatt,"Gunnar Westberg, Jan Öberg",Svenska läkare mot kärnvapen
,Barn och ungdom,"Helena Willis, Henrik Jonsson, Jo Salmson, Mats Vänehem, Ulrika Caperius",Bonnier Carlsen
Scenprogram,Barn och ungdom,"Elin Cullhed, Patrik Lundberg",Författarcentrum och Sveriges Författarförbund
Scenprogram,,Gabriella Håkansson,Författarcentrum och Sveriges Författarförbund
,,"Anna Williams, Daniel Sjölin, Ulrika Knutson",Albert Bonniers förlag
,Bibliotek,"Amanda Glimstedt, Anja Dahlstedt, AnnMari Davidsson, Katarina Michnik, Niclas Lindberg, Pia Carlsson, Torbjörn Nilsson","Bibliotekshögskolan, Högskolan i Borås"
,Samhälle och debatt,"Bodil Jönsson, Charlotta von Zweigbergk, Mattias Hagberg",Brombergs Bokförlag och Ordfront förlag
,Populärvetenskap,"Björn Hagberg, Karin Bojs, Martin Widman",Norstedts
,,,Testtest
"Monterprogram, Scenprogram",Barn och ungdom / Samhälle och debatt / Skola,Jenny Nilsson Folke,Forskartorget/Vetenskapsrådet
,Skola,,Sanoma Utbildning
,Barn och ungdom / Bibliotek / Skola,"Britta Olsson, Fredrik Ljungström, Ingela Borén",I samarbete med KLIV
Scenprogram,Barn och ungdom / Hälsa och livsstil / Samhälle och debatt,"Karin Ödquist Drackner, Lars H Gustafsson",UNICEF
Monterprogram,Hälsa och livsstil,,Bonnier Fakta
Monterprogram,Barn och ungdom,Katarina Genar,Bonnier Carlsen
Monterprogram,Barn och ungdom,"Anna Öqvist Ragnar, Christina Lindström",Storytel
Scenprogram,,Christina Sjöblad,Det unga Skåne
,Samhälle och debatt,"Jasenko Selimovic, Johan Lundberg",Timbro
"Monterprogram, Scenprogram",Bibliotek / Samhälle och debatt / Yttrandefrihet,"Anu Koivunen, Fredrika Lagergren Wahlin, Kim Holmberg",Forskartorget/Hanaholmen kulturcentrum för Sverige och Finland
Monterprogram,Samhälle och debatt,Lena Lind Palicki,Institutet för språk och folkminnen
,Bibliotek,Pia Hasselrot,"Myndigheten för tillgängliga medier, MTM"
Monterprogram,Barn och ungdom,"Linda Bondestam, Ulf Stark",Förlaget
,Hälsa och livsstil,Stefan Blomberg,Studentlitteratur
,Skola,"Daniel Barker, Per Kornhall",Natur & Kultur
Scenprogram,Hälsa och livsstil / Livsåskådning / Samhälle och debatt,"Johanna Thydell, Lotta Fång","Se människan, Alfabeta Bokförlag"
,,"Daniel Sandström, Steve Sem-Sandberg",Albert Bonniers förlag
Monterprogram,,,Norstedts
Monterprogram,Bibliotek,,Axiell Sverige
Monterprogram,,,Kvinno- och tjejjouren Ada
,Barn och ungdom,"Dag Hernried, Jenny Israelsson Skoglund","Alfabeta, Kulturrådet"
,Barn och ungdom,"Adrian Tischkewitz, Andreas Grahn, Tony Ernst, Walter Tischkewitz",Egmont Publishing
Scenprogram,Barn och ungdom / Historia,"Elisabeth Östnäs, Ewa Christina Johansson, Kristina Sjögren",Författarcentrum och Sveriges Författarförbund
,Barn och ungdom / Samhälle och debatt,"Gulnar Hajo, Hossein Mohammadi, Mats Kempe",I samarbete med Internationella biblioteket
,Barn och ungdom / Skola,"Anna Kaya, Niklas Gårdfeldt Leavy",Natur & Kultur
Scenprogram,Samhälle och debatt,Madelaine Seidlitz,Amnesty
Monterprogram,Bibliotek / Hälsa och livsstil / Skola,Monica Langwe,Hemslöjdens förlag
Monterprogram,,,Wahlström & Widstrand
Monterprogram,,,Type & Tell
,Yttrandefrihet,"Lars Truedson, Nils Funcke, Ola Sigvardsson",eddy.se i samarbete med Institutet för mediestudier
Monterprogram,Barn och ungdom,,Bonnier Carlsen
,,"Anne-Marie Körling, Sven-Eric Liedman",BTJ Förlag
Scenprogram,,Gustav Fredriksson,Saljesällskapet
,,"Görrel Espelund, Jan Guillou, Johan Ripås",Piratförlaget
,Populärvetenskap,Johan Höglund,Linnéuniversitetet
,Barn och ungdom / Bibliotek / Skola,"Ellen Eriksson, Lars Vipsjö","I samarbete med Högskolan i Skövde, Lokrantz förlag och Skaraborgs Kommunalförbund"
Monterprogram,,Michaela Gester,Textvärt
Monterprogram,Barn och ungdom,Sara Kadefors,Eksjö Bokhandel
,Barn och ungdom,"Audhild Solberg, Maja Lindqvist, Pernilla Gesén",B. Wahlströms
,Samhälle och debatt / Skola,,Linköpings universitet
,Skola,Mikael Bruér,Lärarnas Riksförbund
,Bibliotek / Skola,Oskar Laurin,Axiell
,Livsåskådning / Samhälle och debatt,"Antje Jackelén, Elisabeth Åsbrink, Nils-Henrik Sikku, Sheila Watt-Cloutier",Right Livelihood Foundation och Se människan/Svenska kyrkan
,Hälsa och livsstil,Anna Bennich Karlstedt,Psykologiguiden
Scenprogram,Historia / Skola,"Lena Sjöstrand, Morten A Stroksnes","Se människan, Leopard Förlag"
Monterprogram,Bibliotek / Samhälle och debatt,,Region Jämtland Härjedalen
Monterprogram,Barn och ungdom,Gunilla Bergström,Rabén & Sjögren
,Samhälle och debatt,"Delphine de Vigan, Karmele Jaio, Kristina Sandberg Kempe, Malin Ullgren",EUNIC
,Historia / Samhälle och debatt,"Klas Åmark, Marte Michelet, Per Svensson",Albert Bonniers förlag
,Barn och ungdom / Skola,"Christina Löfving, Elever från Spekerödskolan","DIU, Kulturrådet"
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Alexandrine Pirlot de Corbion, Marcin de Kaminski",Sida
,Historia / Populärvetenskap,"Anna Takanen, Jan Ristarp, John Swedenmark, Ulf Peter Hallberg","Akademin Valand, Översättarcentrum, Sveriges Författarförbund (översättarsektionen) och Norstedts"
,Barn och ungdom / Samhälle och debatt,"Jenny Jägerfeld, Lars H Gustafsson, Pija Lindenbaum",Lilla Piratförlaget och Norstedts
Monterprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola,,Karnstedts förlag
Scenprogram,Deckare,Emelie Schepp,Författarcentrum och Sveriges Författarförbund
,Skola,"Ewa Thorslund, Johan Wendt, Karin Nygårds, Måns Jonasson",Bonnier Carlsen och Rabén & Sjögren
,Samhälle och debatt,"Lotta Olsson, Meg Wolitzer",Wahlström & Widstrand
"Monterprogram, Scenprogram",Bibliotek / Historia,Ann-Catrine Eriksson,Forskartorget/Riksbankens Jubileumsfond
Monterprogram,Samhälle och debatt,Ebba Witt-Brattström,Norstedts
,Skola,,Sanoma Utbildning
,Barn och ungdom / Bibliotek / Skola,"Carola Mikaelsson, Lo Söllgård, Therése Granwald",Lo Söllgårds förlag
,Barn och ungdom / Bibliotek / Skola,"Ann Boglind, Anna Nordlund",I samarbete med Litteraturbanken
Monterprogram,Barn och ungdom,,Rabén & Sjögren
Scenprogram,Hälsa och livsstil / Samhälle och debatt,Gunnar Rundgren,Ordfront förlag
Monterprogram,,,Forum
Scenprogram,,Stina Otterberg,Karlfeldtsamfundet
Scenprogram,Hälsa och livsstil,"Allan Linnér, Patrik Hadenius, Siri Ambjörnsson","Sveriges Radio, P1 - Radiopsykologen"
,Barn och ungdom,Stian Hole,Alfabeta Bokförlag
Monterprogram,Bibliotek / Skola,,Göteborgs universitet
,Skola,Susan Nieland,Sanoma
Monterprogram,Samhälle och debatt,,Lunds universitet
Monterprogram,,"Janina Orlov, Sonja Nordenswan",Litorale
Scenprogram,Livsåskådning / Samhälle och debatt,"Björn Linnell, Elin Grelsson Almestad","Se människan, Bokförlaget Atlas"
Monterprogram,Barn och ungdom,,Rabén & Sjögren
,Bibliotek,"Johan Svedjedal, Ola Larsmo",Litteraturbanken
Monterprogram,Samhälle och debatt,Anna Öqvist Ragnar,Storytel
,Barn och ungdom / Deckare,Kristina Ohlsson,Lilla Piratförlaget och Piratförlaget
,Barn och ungdom / Bibliotek / Skola,"Annika Edlund, Henriette Zorn, Paula Högström",Kulturrådet
Scenprogram,,Ulf Karl Olov Nilsson,Författarcentrum och Sveriges Författarförbund
"Monterprogram, Scenprogram",Historia / Hälsa och livsstil / Livsåskådning / Samhälle och debatt,Kirsi Vainio-Korhonen,Forskartorget/Svenska litteratursällskapet i Finland
,Barn och ungdom / Bibliotek,"Joanna Hellgren, Tove Pierrou",I samarbete med Krumelur och Natur & Kultur
Monterprogram,Barn och ungdom,,Rabén & Sjögren
Scenprogram,Historia / Samhälle och debatt,"Henrik Meinander, Jarmo Lainio, Lotta Hoppu, Maria Wetterstrand","Svenska Finlands folkting, det finska förvaltningsområdet i Göteborgs stad och Hanaholmen ? kulturcentrum för Sverige och Finland"
Monterprogram,Bibliotek / Hälsa och livsstil / Skola,Ulla Engquist,Hemslöjdens förlag
Monterprogram,Hälsa och livsstil / Samhälle och debatt / Skola,,Slöjd i Väst
,Samhälle och debatt,"Eugen Ruge, Yukiko Duke",Nilsson Förlag
Monterprogram,Historia,,Albert Bonniers Förlag
Monterprogram,Deckare,,Wahlström & Widstrand
Monterprogram,Barn och ungdom,Annika Thor,Bonnier Carlsen
,Historia,"Holger Weiss, Klas-Göran Karlsson",Svenska litteratursällskapet i Finland
Scenprogram,Historia / Yttrandefrihet,Jonas Nordin,DELS/Parnass
,Barn och ungdom / Bibliotek / Skola,"Cay Corneliuson, Cay Corneliusson, Katarina Dorbell",I samarbete med IBBY Sverige
Monterprogram,,Anna Hannesdóttir,Institutionen för svenska språket
"Monterprogram, Scenprogram",Samhälle och debatt / Skola,Andreas Fejes,Forskartorget/Linköpings universitet
,Samhälle och debatt / Skola,"Daniel Sundberg, Niklas Gårdfeldt Leavy, Per Kornhall",Natur & Kultur
Monterprogram,Barn och ungdom,,Eksjö Bokhandel
,Barn och ungdom,"Eva Dahlin, Johanna Thydell, Sara Kadefors",Alfabeta Bokförlag och Bonnier Carlsen
Monterprogram,Memoarer och biografier / Samhälle och debatt,,Göteborgs universitet
Monterprogram,,"Björn Hagberg, Martin Widman",Studieförbundet Vuxenskolan
,Yttrandefrihet,"Ahmad Alsoure, Anna Mattsson, Axîn Welat, Faraj Birkdar, Jila Mossaed, Johan Öberg",Global Free Speech vid Göteborgs universitet och Svenska PEN i Göteborg
,Hälsa och livsstil / Samhälle och debatt,"Maria Carling, Negra Efendic",Natur & Kultur
Monterprogram,Barn och ungdom / Fantasy och science fiction,"Janina Orlov, Maria Turtschaninoff","Förlaget, Berghs Förlag"
Scenprogram,Livsåskådning / Samhälle och debatt,"Joris Luyendijk, Joris Luyendjik, KG Hammar","Se människan, Natur och Kultur"
Monterprogram,,,Norstedts
,Hälsa och livsstil / Populärvetenskap / Samhälle och debatt,"Emma Seppälä, Lisa Kirsebom",HarperCollins Nordic
Monterprogram,Bibliotek / Skola,,Lärarnas Riksförbund i samarbete med Novellix
,Bibliotek,"Greger Bergvall, Jan Ottosson, Lars Korsell",Kungliga biblioteket
,Skola,Richard Pettersson,Lärarnas Riksförbund
,Memoarer och biografier,Jesper Söder,Bokförlaget Forum
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Cecilia Uddén, Ensaf Haidar",Wahlström & Widstrand och Internationella torget
,Barn och ungdom,"Chris Haughton, Erik Titusson",Lilla Piratförlaget
,Barn och ungdom,"Anne-Marie Körling, Jonas Andersson",Kulturrådet
Scenprogram,,,Författarcentrum och Sveriges Författarförbund
,Skola,"Eva Sundgren, Pirjo Lahdenperä, Åsa Sibelius",Liber
,Samhälle och debatt,"Stefan Lindberg, Åsa Linderborg",Albert Bonniers förlag
,Samhälle och debatt,"Ebba Witt-Brattström, Lena Andersson, Rakel Chukri, Åsa Beckman",Norstedts och Natur & Kultur
Monterprogram,Barn och ungdom,,Rabén & Sjögren
,Skola,,Sanoma Utbildning
,Barn och ungdom,Gertrud Widerberg,I samarbete med IBBY Sverige
Monterprogram,,,Norstedts
Scenprogram,Barn och ungdom / Hälsa och livsstil / Samhälle och debatt / Skola,"Björn Fondén, Susanna Wasielewski Ahlfors, Ulrika Modéer",Sida
"Monterprogram, Scenprogram",Historia / Samhälle och debatt,Torbjörn Lodén,Forskartorget/Appell Förlag
Monterprogram,Deckare,,Wahlström & Widstrand
Monterprogram,Barn och ungdom,,Bonnier Carlsen
Scenprogram,,"Elisabet Palmqvist, Maria Wiell",Sällskapet Erik Johan Stagnelii vänner
Monterprogram,,Sven-Göran Malmgren,Institutionen för svenska språket
,Memoarer och biografier,"Amineh Kakabaveh, Johan Ohlson",Ordfront förlag
,Barn och ungdom,"Elisabeth Östnäs, Helena Dahlgren",Berghs Förlag
,Skola,Micke Hermansson,Studentlitteratur
Monterprogram,Samhälle och debatt,,Göteborgs universitet
Monterprogram,,Ulf Peter Hallberg,Studieförbundet Vuxenskolan
,Hälsa och livsstil / Livsåskådning,"Allan Linnér, Niklas Rådström",Albert Bonniers Förlag
Monterprogram,,"Hannele Mikaela Taivassalo, Philip Teir",Förlaget
Scenprogram,Historia / Livsåskådning / Memoarer och biografier,"Nina Burton, Sara Blom","Se människan, Albert Bonniers Förlag"
Monterprogram,,Ulf Karl Olof Nilsson,Norstedts
