Typ,Tema,Deltagare,Arrangor
,Bibliotek,Maria Ehrenberg,I samarbete projektet Synen på skönlitteratur
Monterprogram,Skola,,Digilär
,,"Beatrice Unander-Scharin, Colette van Luik, Zozan Inci",Roks
,Skola,"Christer Isaksson, Helena Kvarnsell, Åsa Fahlén",Lärarnas Riksförbund
,Skola,"Anna Lund, Stefan Lund",Studentlitteratur
,Bibliotek,Alex Bergdahl,Axiell
,Skola,"Anna Ekström, Jakob Harder, Jan Hylén, Mikael Alexandersson, Mikael Uljens",Stiftelsen DIU och Skolverket
Monterprogram,Samhälle och debatt,,Studieförbundet Vuxenskolan
Monterprogram,Barn och ungdom / Skola,Helena Bross,Eksjö Bokhandel
,Barn och ungdom / Hälsa och livsstil,"Jenny Jägerfeld, Sandra Beijer",Natur & Kultur
Scenprogram,Hälsa och livsstil / Livsåskådning,"Monica Eckerdal, Niklas Ekdal","Se människan, Brombergs bokförlag och S:t Lukas"
,Yttrandefrihet,"Alice Bah Kuhnke, Getachew Engida, Housam Al-Mosilli, Ola Larsmo, Parvin Ardalan","Svenska Unescorådet, Global Free Speech vid Göteborgs universitet, ICORN, Svenska PEN"
Monterprogram,Barn och ungdom / Samhälle och debatt,"Catarina Lundström, Karin Wahlén",Region Jämtland Härjedalen
Scenprogram,Livsåskådning / Samhälle och debatt / Skola,"Bitte Hammargren, Isak Svensson, Sofia Walan","Kristna Fredsrörelsen, studieförbundet Bilda, Marcus förlag"
,Barn och ungdom,"Boel Westin, Meg Rosoff","ALMA, Kulturrådet"
,Livsåskådning,Tommy Hellsten,Libris
Scenprogram,,Henrik Johansson,Författarcentrum och Sveriges Författarförbund
Monterprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola,,Karnstedts förlag
,Barn och ungdom,"Lena Sjöberg, Magnus Utvik, Martin Svensson, Sarah Sheppard","Bokförlaget Opal, Bonnier Carlsen och B. Wahlströms"
Monterprogram,Barn och ungdom,Josefine Sundström,Bonnier Carlsen
,Bibliotek,"Calle Nathanson, Camilla Batal, Erik Fichtelius, Gunilla Herdenberg, Katti Hoflin","Myndigheten för tillgängliga medier, MTM"
,Skola,,Sanoma Utbildning
Scenprogram,,Therese K Agdler,Författarcentrum och Sveriges Författarförbund
,Barn och ungdom / Bibliotek / Samhälle och debatt,"Anna Cederwall, Annika Hermele, Veronica Gran",I samarbete med Regionbibliotek Stockholm
"Monterprogram, Scenprogram",Historia / Livsåskådning / Samhälle och debatt / Yttrandefrihet,Richard Öhrvall,Forskartorget/Linköpings universitet
Scenprogram,Historia / Samhälle och debatt / Yttrandefrihet,"Andreas Karlsson, Erik Osvalds",Historiska media
,,"Per Magnus Johansson, Thomas Karlsohn",ARche
,Barn och ungdom / Fantasy och science fiction,"Jonathan Stroud, Marta Hedener",B. Wahlströms
Scenprogram,,Christer Åsberg,Karlfeldtsamfundett
,Bibliotek,"Lena Skoglund, Louise Limberg","Bibliotekshögskolan, Högskolan i Borås"
Monterprogram,Skola,,FTVS - Film och TV-branschens Samarbetskommitté
Monterprogram,Skola,"Alexandra Hökbring, Anna Winlund, Thomas Björklund Brax","Institutionen för svenska språket, Göteborgs Stad"
Monterprogram,Memoarer och biografier,"Katarina Gäddnäs, Nalle Valtiala",Litorale
Monterprogram,Samhälle och debatt / Yttrandefrihet,,Göteborgs universitet
,Bibliotek / Skola,Sofia Malmberg,axiell
Monterprogram,,Niklas Rådström,Studieförbundet Vuxenskolan
,Samhälle och debatt,"Håkan Järvå, Niklas Orrenius",Albert Bonniers Förlag
Scenprogram,Hälsa och livsstil / Livsåskådning / Samhälle och debatt,"Kristin Molander, Meg Wolitzer","Se människan, Wahlström och Widstrand"
,Barn och ungdom / Skola,"Bengt Erik Engholm, Karin Schubert, Sara Persson",Natur & Kultur
,Barn och ungdom / Hälsa och livsstil,Petter Iwarsson,Gothia Fortbildning
Scenprogram,Barn och ungdom,"Annika Thor, Christina Wahldén",Författarcentrum och Sveriges Författarförbund
,Barn och ungdom,"Cilla Nergårdh, Gunilla Bergström","Rabén & Sjögren, Saltkråkan, Kulturrådet"
Monterprogram,Barn och ungdom,Helena Bross,Bonnier Carlsen
,Barn och ungdom / Bibliotek / Skola,Elisabet Risberg,I samarbete med Internationella biblioteket
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Anna Wigenmark, Eugene Wolynsky",Föreningen Ordfront
"Monterprogram, Scenprogram",Historia / Livsåskådning / Samhälle och debatt / Yttrandefrihet,Kjell O Lejon,Forskartorget/Linköpings universitet
Scenprogram,Livsåskådning / Samhälle och debatt,Katarina Leppänen,Elin Wägner-sällskapet
,Historia,"Kirsi Vainio-Korhonen, Ulrika Knutson",Svenska litteratursällskapet i Finland
,Barn och ungdom / Samhälle och debatt,"Cay Corneliuson, Cay Corneliusson",I samarbete med IBBY Sverige
,,"Anisur Rahman, Imdadul Haq Milon, Kristian Carlsson, Lars Häger, Mats Kempe","Litteraturcentrum Uppsala, Dag Hammarskjöld Program Oslo, Smockadoll förlag och National Poetry Council of Bangladesh"
,Barn och ungdom,"Janina Orlov, Linda Bondestam, Ulf Stark",Berghs Förlag och Förlaget
Monterprogram,Skola,Per Holmberg,Institutionen för svenska språket
Monterprogram,Hälsa och livsstil / Livsåskådning,Wivan Nygård-Fagerudd,Libris Förlag
Monterprogram,Bibliotek / Hälsa och livsstil / Livsåskådning / Yttrandefrihet,,Göteborgs universitet
Monterprogram,Samhälle och debatt,,Studieförbundet Vuxenskolan
,Yttrandefrihet,"Anna-Lena Laurén, Kristina Henschen, Peter Pomerantsev, Viktor Martinovitj","Union to Union, Ordfront förlag och Litteraturresan/Belarus"
Scenprogram,Barn och ungdom / Hälsa och livsstil / Livsåskådning / Samhälle och debatt / Skola,"Elin Cullhed, Johanna Linnaro","Se människan, Natur och Kultur"
Monterprogram,,"Johanna Lindbäck, Meg Rosoff",Vi Media AB
Monterprogram,Barn och ungdom,Petrus Dahlin,Rabén & Sjögren
,Skola,"Elza Dunkels, Simon Lindgren",Gleerups
Monterprogram,Yttrandefrihet,Elisabeth Dyvik,"ICORN, Kulturrådet, de svenska fristäderna"
,,"Björn Ranelid, Eva Bonnier",Albert Bonniers förlag
Monterprogram,Bibliotek / Skola,,Lärarnas Riksförbund i samarbete med Novellix
Monterprogram,Yttrandefrihet,,test
Scenprogram,Historia / Samhälle och debatt / Yttrandefrihet,"Cecilia Uddén, Patrick Cockburn",Celanders förlag och Internationella torget
,Barn och ungdom,"Gun Olsson, Ingrid Källström","MTM, Kulturrådet"
,Skola,Peter Friberg,Magelungen Utveckling
,Barn och ungdom,"Alice Lima de Faria, Ane Gustavsson, Annika Edlund, Stian Hole",Alfabeta Bokförlag och Natur & Kultur
,,"Allan Linnér, Anne-Marie Körling, Annina Rabe, Jonas Andersson",Kulturrådet
Scenprogram,Barn och ungdom,"Ingrid Remvall, Katarina Kuick, Peter Ekberg",Författarcentrum och Sveriges Författarförbund
,Barn och ungdom,"Alex Gino, Sara Lövestam, Ulrika Westerlund",Lilla Piratförlaget
Monterprogram,Hälsa och livsstil,Anders Hansen,Bonnier Fakta
Monterprogram,Barn och ungdom,,Semic
Monterprogram,Barn och ungdom,Helena Bross,Bonnier Carlsen
,Bibliotek,"Bengt Neiss, Göran Kristiansson, Mark Hedges, Nasrine Olson, Peter Voisey, Sanja Halling","Bibliotekshögskolan, Högskolan i Borås"
"Monterprogram, Scenprogram",Barn och ungdom / Bibliotek / Fantasy och science fiction / Samhälle och debatt / Serier / Skola,Lars Wallner,Forskartorget/Linköpings universitet
Monterprogram,Barn och ungdom,Ingelin Angerborn,Rabén & Sjögren
,Barn och ungdom / Bibliotek / Skola,"Brita Sjögren, Diana Hedin, Sara Gagge",I samarbete med Internationella biblioteket
Scenprogram,Samhälle och debatt / Skola,"Abdulkader Habib, Noa Hermele, Åke Larsson",Folkhögskolor utan gränser
Scenprogram,Barn och ungdom / Skola,Magnus Eriksson,DELS/Parnass
,Populärvetenskap / Samhälle och debatt,Kjell O Lejon,Linköpings universitet
Monterprogram,Memoarer och biografier,,Studieförbundet Vuxenskolan
Monterprogram,Bibliotek / Hälsa och livsstil,,Göteborgs universitet
,Barn och ungdom / Skola,"Jujja Wieslander, Moa Brunnberg, Sven Nordqvist",Rabén & Sjögren
Monterprogram,Samhälle och debatt,Jutta Haider,Lunds universitet
,Hälsa och livsstil,Anna Bennich Karlstedt,Psykologiguiden
Scenprogram,Bibliotek / Historia / Livsåskådning,"Carl-Göran Ekerwald, Caroline Krook","Se människan, Molin & Sorgenfrei"
,Bibliotek,"Annika Persson, Barbro Blomberg, Olof Sundin",Biblioteksbladet
,Skola,"Lovisa Fhager Havdelin, Maria Agdler, Patrik Lundberg",Vilja förlag och Teskedsorden
,Barn och ungdom,"Daniela Stamatiadi, Helena Bergendahl","IBBY, Kulturrådet"
Scenprogram,,,Författarcentrum och Sveriges Författarförbund
Monterprogram,Hälsa och livsstil,,Bonnier Fakta och Wahlström & Widstrand
Monterprogram,Hälsa och livsstil,Stina Wirsén,Bonnier Fakta
Monterprogram,Barn och ungdom,Magnus Nordin,Bonnier Carlsen
"Monterprogram, Scenprogram",Historia / Livsåskådning / Samhälle och debatt / Skola / Yttrandefrihet,Stein Tønnesson,Forskartorget/Riksbankens Jubileumsfond
,Barn och ungdom / Samhälle och debatt / Skola,"Johan Theodorsson, Paula Norrlid",I samarbete med Sigtuna kommun
Monterprogram,Barn och ungdom,,Rabén & Sjögren
Scenprogram,Hälsa och livsstil / Samhälle och debatt,"Bo Johansson, Karin Gregow, Kenneth Hermele",Jordens Vänner och Forum Syd
,Bibliotek,"Anna-Leena Forsberg, Jennie Spetz",Institutet för språk och folkminnen
,,"Gabriela Adameşteanu, Maria Schottenius",Rumänska kulturinstitutet
,Historia / Yttrandefrihet,Hans-Gunnar Axberger,eddy.se
Scenprogram,Samhälle och debatt / Yttrandefrihet,,Almqvistsällskapet & Wendelas vänner
,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola / Yttrandefrihet,"Erik Fichtelius, Karin Linder, Krister Hansson",I samarbete med Utredningen Nationell biblioteksstrategi
,,"Linda Maria Thompson, Louise Wolthers",Teg Publishing
Monterprogram,,"Janina Orlov, Roleff Kråkström, Sophia Jansson",Förlaget
,Bibliotek / Skola,"Liselott Drejstam, Sara Bernhardsson",Lärarnas Riksförbund forum för svenska
,Samhälle och debatt / Skola / Yttrandefrihet,,Linköpings universitet
Monterprogram,Barn och ungdom / Bibliotek,Ann Boglind,Göteborgs universitet
Monterprogram,,,Studieförbundet Vuxenskolan
Monterprogram,Samhälle och debatt,,Lunds universitet
,Bibliotek / Skola,Edward Jensinger,Axiell
,Hälsa och livsstil,"Anna Kåver, Maria Carling",Natur & Kultur
Scenprogram,Livsåskådning / Samhälle och debatt / Serier,"Alf Linderman, Lisa Wool-Rim Sjöblom","Se människan, Galago"
Monterprogram,Barn och ungdom,,Rabén & Sjögren
,Skola,"Anna Kaya, Daniel Barker, Maria Bjerregaard",Natur & Kultur
Monterprogram,Bibliotek / Memoarer och biografier / Samhälle och debatt,Erik Jonsson,"Länsbiblioteket, Region Västerbotten"
,Bibliotek,"Attila Rostoványi, Christina Persson",DIK
,,"Ingrid Elam, Niklas Rådström",Albert Bonniers förlag
,Barn och ungdom / Populärvetenskap,"Karolina Kjellberg, Pauline Reuss",Fri Tanke förlag
,Yttrandefrihet,"Babak Salimizadeh, Hanna Gustavsson, Jude Dibia, Kerstin Brunnberg",Kulturrådet
Scenprogram,Barn och ungdom,"Grethe Rottböll, Jenny Jägerfeld, Kerstin Lundberg Hahn",Författarcentrum och Sveriges Författarförbund
,Barn och ungdom / Skola,"Daniel Sjölin, Emma Adbåge, Lena Sjöberg, Lisen Adbåge, Mårten Melin",Natur & Kultur och Rabén & Sjögren
,Barn och ungdom / Bibliotek,"Emma Bladby, Farzad Farzaneh, Maria Eriksson",Kulturrådet
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,Memoarer och biografier,Henrik Berggren,Max Ström
Monterprogram,Barn och ungdom,"Johan Wendt, Karin Nygårds, Tor Moström",Bonnier Carlsen
,,"Johanna Koljonen, Matt Haig",Massolit
,,"Birgitta Wallin, Örjan Sjögren",Embassy of Brazil in Stockholm
Monterprogram,Barn och ungdom,,Rabén & Sjögren
"Monterprogram, Scenprogram",Bibliotek / Skola,Jonas Mindemark,Forskartorget/Stiftelsen för strategisk forskning
,Skola,,Sanoma Utbildning
Scenprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola,"Birgitta Hägg, Elisabeth Lindén, Sten Hagberg",New Connexion
Scenprogram,,Gunilla Otto,Gustaf Fröding-sällskapet
,Livsåskådning,"Lena Andersson, Stephen Farran-Lee",Natur & Kultur
,Barn och ungdom / Skola,"Andreas Palmaer, Cecilia Knutsson, Ingelin Angerborn, Petrus Dahlin",Alfabeta Bokförlag och Rabén & Sjögren
Monterprogram,Barn och ungdom,"Carina Wolff-Brandt, Gudrun Wessnert",Vingpennan
Monterprogram,Samhälle och debatt,Kenneth Hermele,Göteborgs universitet
Monterprogram,Samhälle och debatt / Skola,,Lunds universitet
,Historia,"Hans Ruin, Henrik Berggren, Ulla Manns",Riksbankens jubileumsfond
Monterprogram,Barn och ungdom,Stina Wirsén,Eksjö Bokhandel
,,"Emma Seppälä, Katarina Blom",Harper Collins
Scenprogram,Historia / Livsåskådning / Samhälle och debatt,"Gunilla Hallonsten, Ingmar Karlsson","Se människan, Historiska media"
Monterprogram,Barn och ungdom,,Rabén & Sjögren
,Skola,"Carl-Johan Markstedt, Vendela Blomström",Sanoma Utbildning
Scenprogram,Barn och ungdom,"Eva Susso, Moa Eriksson Sandberg",Författarcentrum och Sveriges Författarförbund
Monterprogram,,,Bonnierförlagen
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,Barn och ungdom,Martin Widmark,Bonnier Carlsen
,Barn och ungdom / Bibliotek,Lisa Eriksson,I samarbete med Länsbibliotek Uppsala
"Monterprogram, Scenprogram",Barn och ungdom / Bibliotek / Livsåskådning / Samhälle och debatt / Skola / Yttrandefrihet,"Anders Rydell, Jesper Strömbäck",Forskartorget/Riksbankens Jubileumsfond och UR
,Barn och ungdom / Skola,Bo Hejlskov Elvén,Natur & Kultur
Monterprogram,Barn och ungdom,,Rabén & Sjögren
Scenprogram,Historia,Björn Ranelid,Albert Bonniers Förlag
,Barn och ungdom,"Alice Bah Kuhnke, Gustav Fridolin","Kulturdepartementet, Utbildningsdepartementet, Kulturrådet"
,,"Anna Lindman, Ewa Thorslund, Rolf Classon, Suleiman Bakhit",Kartago och Statens medieråd
Scenprogram,Barn och ungdom / Skola,Marianne Ringnér,Sällskapet för Ester Ringnér-Lundgren
Monterprogram,Barn och ungdom / Bibliotek,,Norrbottens länsbibliotek
,,"Anna Mattsson, Carl Jóhan Jensen",FarLit
,Barn och ungdom / Samhälle och debatt,"Katarina Larson, Sharma Pecoraro",Kultur i Väst
,Hälsa och livsstil,,MI Migrän info /MIAB förlag
,Barn och ungdom,"Helena Bross, Ulrika Caperius",Bonnier Carlsen
,Skola,Mikael Bruér,Lärarnas Riksförbund
,Barn och ungdom / Samhälle och debatt / Skola,,Linköpings universitet
,,"Elin Boardy, Jessica Schiefauer",Kultur i Väst
Monterprogram,Samhälle och debatt,"Anu Koivunen, Jarmo Lainio","Hanaholmen -kulturcentrum för Sverige och Finland, Kulturfonden för Sverige och Finland"
,,"Anders Sjöqvist, Elaine Eksvärd",I samarbete med Bokförlaget Forum
,Bibliotek,Petra Trobäck,Axiell
Monterprogram,Samhälle och debatt,,Studieförbundet Vuxenskolan
,Yttrandefrihet,"Ardalan Shekarabi, Bodil Tingsby, Getachew Engida, Helena Lindholm, Patrik Hiselius","Sustainable Development Solutions Network vid Göteborgs miljövetenskapliga centrum (Chalmers/Göteborgs universitet), Global Free Speech vid Göteborgs universitet"
,Barn och ungdom / Bibliotek / Skola,,Lo Söllgårds förlag
,Hälsa och livsstil / Samhälle och debatt,Stefan Blomberg,Studentlitteratur
Scenprogram,Barn och ungdom / Livsåskådning / Skola,"Birgitta Westlin, Mats Strandberg","Se människan, Rabén och Sjögren"
Monterprogram,,"Lisa Bjärbo, Ulf Stark",Vi Media AB
,Barn och ungdom,"Kajsa Bäckius, Sofia Gydemo",Svenska barnboksinstitutet
,,"Ola Larsmo, Thom Lundberg",Albert Bonniers förlag
,Memoarer och biografier,"KG Hammar, Patti Smith",Brombergs Bokförlag och Se människan/Svenska kyrkan
,Historia,"Anders Q. Björkman, Barbro Eberan",Carlsson Bokförlag
Monterprogram,Barn och ungdom / Bibliotek / Historia / Skola / Yttrandefrihet,,MTM och LL-förlaget
Scenprogram,Hälsa och livsstil / Samhälle och debatt,Flavio Valente,FIAN
Monterprogram,Barn och ungdom / Bibliotek / Fantasy och science fiction / Historia / Skola,,Roslagstext
Scenprogram,Barn och ungdom / Skola,"Camilla Lundmark, Mattias Edvardsson",Författarcentrum och Sveriges Författarförbund
,,"Anneli Jordahl, Fanna Ndow Norrby, Karolina Ramqvist",Norstedts och Natur & Kultur
,Skola,"Anna Ekström, Isabella Grybe, Layal Kasselias Wiltgren, Sara Persson",UR och Studentlitteratur
,Yttrandefrihet,"Björn Wiman, Niklas Orrenius",Albert Bonniers förlag
,Barn och ungdom,"Boel Westin, Meg Rosoff","Kulturrådet och Litteraturpriset till Astrid Lindgrens minne, ALMA"
Monterprogram,Samhälle och debatt,Jesper Söder,Forum
Monterprogram,Hälsa och livsstil,,Bonnier Fakta
Monterprogram,Barn och ungdom,"Johan Unenge, Måns Gahrton",Bonnier Carlsen
"Monterprogram, Scenprogram",Hälsa och livsstil / Samhälle och debatt,Anna Nyberg,"Forskartorget/Forte ? Forskningsrådet för hälsa, arbetsliv och välfärd"
,Skola,,Sanoma Utbildning
,Bibliotek,"Arne Johnsson, Elias Hillström, Elisabeth Skog",I samarbete med Stockholms stadsbibliotek
Monterprogram,Barn och ungdom,,Rabén & Sjögren
Scenprogram,Hälsa och livsstil / Samhälle och debatt,"Kristina Henschen, Mats Wingborg, Per J Andersson",Union to Union och Schyst resande
Scenprogram,Samhälle och debatt / Yttrandefrihet,Roland Persson,Gustaf Hellström-sällskapet
Monterprogram,,"Agneta Rahikainen, Ebba Witt-Brattström, Mari Koli","Schildts & Söderströms, Svenska litteratursällskapet i Finland"
Monterprogram,Skola,"Anna Winlund, Britt Klintenberg, Qarin Franker",Institutionen för svenska språket
Monterprogram,Barn och ungdom / Fantasy och science fiction,Jo Salmson,Eksjö Bokhandel
,Barn och ungdom,"Christina Lindström, Maja Lindqvist, Martin Svensson, Pernilla Gesén",B. Wahlströms
,Barn och ungdom / Bibliotek,"Fanny Forsberg Lundell, Lars Anders Johansson, Pelle Snickars",Timbro
Monterprogram,Barn och ungdom / Samhälle och debatt / Skola,"Anna W Gustafsson, David Håkansson",Lunds universitet
,Bibliotek / Skola,Liselott Drejstam,Axiell
Monterprogram,,,Studieförbundet Vuxenskolan
,Hälsa och livsstil,"Agneta Lagercrantz, Christina Andersson, Jonas Mattsson",Natur & Kultur
Scenprogram,Hälsa och livsstil / Livsåskådning / Memoarer och biografier,"Ann Westin, Per Starke","Se människan, Lava Förlag"
Monterprogram,Barn och ungdom,,Rabén & Sjögren
,Memoarer och biografier,Anna Williams,Albert Bonniers förlag
,Historia,Andreas Karlsson,Historiska Media
Scenprogram,Barn och ungdom / Skola,Pål Börjesson,Författarcentrum och Sveriges Författarförbund
,Barn och ungdom / Skola,"Frida Lindén, Lykke Pörtfors",Kulturrådet
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,Barn och ungdom / Samhälle och debatt,Stina Wirsén,Bonnier Carlsen
,Bibliotek,"Lotta Bergman, Mia Dimblad",I samarbete med Kultur Skåne
Monterprogram,Serier,Ellen Ekman,Rabén & Sjögren
Scenprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola / Yttrandefrihet,"Gulnar Hajo, Marian Hassan, Mats Kempe",Internationella biblioteket
"Monterprogram, Scenprogram",Historia,"Holger Weiss, Klas-Göran Karlsson",Forskartorget/Svenska Litteratursällskapet i Finland
Scenprogram,,,Författarcentrum och Sveriges Författarförbund
,,"Anders Hansen, Lisa Kirsebom, Åsa Nilsonne",Bonnier Fakta och Natur & Kultur
,Populärvetenskap,Mia Eriksson,Makadam förlag
,Barn och ungdom,"Erik Titusson, Pija Lindenbaum",Lilla Piratförlaget
